Test Time,Poll,Test,Variables,Iterations,Total Function Evaluations,Function Evaluations Before Optimum,Time,Optimal Value
2020-06-19 14:23:12,OrthoMADS,ARWHEAD,500,6,3500,500,0.7148361206054688,0.0
2020-06-19 14:22:27,LTMADS,ARWHEAD,500,6,5046,47,0.7344849109649658,0.0
2020-06-19 14:24:03,LTMADS,ARWHEAD,500,6,5331,332,1.0149519443511963,0.0
2020-06-19 14:24:04,LTMADS,ARWHEAD,500,6,5736,737,0.7402689456939697,0.0
2020-06-19 14:24:06,LTMADS,ARWHEAD,500,6,5805,806,0.7398691177368164,0.0
2020-06-19 14:24:07,LTMADS,ARWHEAD,500,6,5557,558,0.7495810985565186,0.0
2020-06-19 14:24:08,LTMADS,ARWHEAD,500,6,5672,673,0.7434659004211426,0.0
2020-06-19 14:24:09,LTMADS,ARWHEAD,500,6,5617,618,0.8695600032806396,0.0
2020-06-19 14:24:11,LTMADS,ARWHEAD,500,6,5171,172,1.0175788402557373,0.0
2020-06-19 14:24:12,LTMADS,ARWHEAD,500,6,5457,458,0.7464277744293213,0.0
2020-06-19 14:24:13,LTMADS,ARWHEAD,500,6,5974,975,0.7842109203338623,0.0
2020-06-19 14:24:21,LTMADS,ARWHEAD,500,6,5201,202,0.7455289363861084,0.0
2020-06-19 14:24:23,LTMADS,ARWHEAD,500,6,5139,140,0.7611598968505859,0.0
2020-06-19 14:24:24,LTMADS,ARWHEAD,500,6,5286,287,0.7574591636657715,0.0
2020-06-19 14:24:25,LTMADS,ARWHEAD,500,6,5699,700,1.103044033050537,0.0
2020-06-19 14:24:27,LTMADS,ARWHEAD,500,6,5910,911,0.7706789970397949,0.0
2020-06-19 14:24:28,LTMADS,ARWHEAD,500,6,5338,339,0.7427859306335449,0.0
2020-06-19 14:24:29,LTMADS,ARWHEAD,500,6,5055,56,0.7370951175689697,0.0
2020-06-19 14:24:30,LTMADS,ARWHEAD,500,6,5438,439,0.7824850082397461,0.0
2020-06-19 14:24:32,LTMADS,ARWHEAD,500,6,5955,956,0.7973971366882324,0.0
2020-06-19 14:24:33,LTMADS,ARWHEAD,500,6,5809,810,1.0601630210876465,0.0
2020-06-19 14:24:34,LTMADS,ARWHEAD,500,6,5409,410,0.7574880123138428,0.0
2020-06-19 14:24:35,LTMADS,ARWHEAD,500,6,5026,27,0.7356669902801514,0.0
2020-06-19 14:24:37,LTMADS,ARWHEAD,500,6,5737,738,0.7788701057434082,0.0
2020-06-19 14:24:38,LTMADS,ARWHEAD,500,6,5024,25,0.7242400646209717,0.0
2020-06-19 14:24:39,LTMADS,ARWHEAD,500,6,5782,783,0.85064697265625,0.0
2020-06-19 14:24:41,LTMADS,ARWHEAD,500,6,5665,666,1.093919038772583,0.0
2020-06-19 14:24:42,LTMADS,ARWHEAD,500,6,5777,778,0.7588059902191162,0.0
2020-06-19 14:24:43,LTMADS,ARWHEAD,500,6,5057,58,0.7212238311767578,0.0
2020-06-19 14:24:44,LTMADS,ARWHEAD,500,6,5241,242,0.7356700897216797,0.0
2020-06-19 14:24:46,LTMADS,ARWHEAD,500,6,5828,829,0.7805600166320801,0.0
2020-06-19 15:20:57,OrthoMADS,BDQRTIC,100,1287,129859,129859,4.913361072540283,378.76937289993344
2020-06-19 15:21:39,LTMADS,BDQRTIC,100,1430,174537,174537,7.556797027587891,378.76949272788335
2020-06-19 15:21:45,LTMADS,BDQRTIC,100,1430,175059,175059,6.6608428955078125,378.76949485406425
2020-06-19 15:21:52,LTMADS,BDQRTIC,100,1384,168098,168098,6.577457904815674,378.76947929223104
2020-06-19 15:21:59,LTMADS,BDQRTIC,100,1386,169114,169114,6.202197074890137,378.7694973312968
2020-06-19 15:22:06,LTMADS,BDQRTIC,100,1437,175950,175950,6.923673152923584,378.7694973097709
2020-06-19 15:22:12,LTMADS,BDQRTIC,100,1342,160249,160249,6.153151988983154,378.7694881246306
2020-06-19 15:22:21,LTMADS,BDQRTIC,100,1365,165618,165618,7.875737905502319,378.769496843041
2020-06-19 15:22:32,LTMADS,BDQRTIC,100,1737,214970,214970,10.67175579071045,378.769497949703
2020-06-19 15:22:40,LTMADS,BDQRTIC,100,1477,179110,179110,8.143178939819336,378.76949945990305
2020-06-19 15:22:51,LTMADS,BDQRTIC,100,1907,238019,238019,10.266911029815674,378.7694999393422
2020-06-19 15:22:58,LTMADS,BDQRTIC,100,1510,183109,183109,7.295604944229126,378.76949781070084
2020-06-19 15:23:05,LTMADS,BDQRTIC,100,1383,167091,167091,6.370378017425537,378.76949825759345
2020-06-19 15:23:13,LTMADS,BDQRTIC,100,1439,176153,176153,7.869786024093628,378.7694988757331
2020-06-19 15:23:20,LTMADS,BDQRTIC,100,1445,173593,173593,6.360881805419922,378.76949892861796
2020-06-19 15:23:26,LTMADS,BDQRTIC,100,1362,164684,164684,6.282550811767578,378.76949319039164
2020-06-19 15:23:32,LTMADS,BDQRTIC,100,1374,166065,166065,6.170936107635498,378.76949050177103
2020-06-19 15:23:39,LTMADS,BDQRTIC,100,1388,167799,167799,6.348280191421509,378.76949165695174
2020-06-19 15:23:46,LTMADS,BDQRTIC,100,1432,172502,172502,6.699275970458984,378.7694987579698
2020-06-19 15:23:52,LTMADS,BDQRTIC,100,1345,160080,160080,5.930865049362183,378.769487477543
2020-06-19 15:24:00,LTMADS,BDQRTIC,100,1485,181508,181508,7.3068060874938965,378.76949597631733
2020-06-19 15:24:09,LTMADS,BDQRTIC,100,1742,211100,211100,8.32440996170044,378.7694988055523
2020-06-19 15:24:15,LTMADS,BDQRTIC,100,1441,172522,172522,6.360020160675049,378.76947161516443
2020-06-19 15:24:23,LTMADS,BDQRTIC,100,1485,182825,182825,7.43625807762146,378.7694988239665
2020-06-19 15:24:30,LTMADS,BDQRTIC,100,1440,173279,173279,6.315249919891357,378.7694853758571
2020-06-19 15:24:37,LTMADS,BDQRTIC,100,1458,175763,175763,6.947427034378052,378.7694951096592
2020-06-19 15:24:44,LTMADS,BDQRTIC,100,1494,182958,182958,6.974967002868652,378.7694926846962
2020-06-19 15:24:51,LTMADS,BDQRTIC,100,1398,169469,169469,6.4761810302734375,378.76949247661526
2020-06-19 15:24:57,LTMADS,BDQRTIC,100,1431,171673,171673,6.205734014511108,378.7694876668616
2020-06-19 15:25:05,LTMADS,BDQRTIC,100,1415,170935,170935,7.386262893676758,378.76948997372614
2020-06-19 15:25:13,LTMADS,BDQRTIC,100,1431,174507,174507,7.452515125274658,378.7694998221
2020-06-19 15:53:32,OrthoMADS,BIGGS6,6,10000,80302,80280,2.3845109939575195,0.00022398725328087325
2020-06-19 15:53:33,LTMADS,BIGGS6,6,3142,27518,27518,1.0081069469451904,9.966352275734628e-5
2020-06-19 15:53:34,LTMADS,BIGGS6,6,4445,39009,39009,0.7991838455200195,9.996189247135489e-5
2020-06-19 15:53:35,LTMADS,BIGGS6,6,3008,26380,26380,0.7311708927154541,9.962608852127164e-5
